"","x"
"X1191",1
"X1192",2
"X1193",2
"X1194",2
"X1195",1
"X1196",1
"X1197",1
"X1198",1
"X1199",1
"X1200",1
"X1201",1
"X1202",1
"X1203",2
"X1204",2
"X1205",2
"X1206",2
"X1207",2
"X1208",1
"X1209",2
"X1210",2
"X1211",2
"X1212",1
"X1213",1
"X1214",3
"X1215",2
"X1216",2
"X1217",3
"X1218",1
"X1219",2
"X1220",1
"X1221",2
"X1222",2
"X1223",2
"X1224",2
"X1225",1
"X1226",1
"X1227",2
"X1228",2
"X1229",2
"X1230",1
"X1231",1
"X1232",2
"X1233",2
"X1234",2
"X1235",1
"X1236",1
"X1237",1
"X1238",1
"X1239",1
"X1240",1
"X1241",1
"X1242",1
"X1243",2
"X1244",1
"X1245",2
"X1246",2
"X1247",2
"X1248",1
"X1249",1
"X1250",1
"X1251",1
"X1252",2
"X1253",2
"X1254",2
"X1255",2
"X1256",1
"X1257",1
"X1258",2
"X1259",2
"X1260",1
"X1261",1
"X1262",1
"X1263",2
"X1264",2
"X1265",1
"X1266",1
"X1267",2
"X1268",2
"X1269",2
"X1270",1
"X1271",2
"X1272",2
"X1273",2
"X1274",2
"X1275",2
"X1276",1
"X1277",1
"X1278",1
"X1279",1
"X1280",1
"X1281",3
"X1282",1
"X1283",1
"X1284",1
"X1285",1
"X1286",1
"X1287",1
"X1288",1
"X1289",1
"X1290",1
"X1291",1
"X1292",1
"X1293",1
"X1294",1
"X1295",1
"X1296",1
"X1297",1
"X1298",1
"X1299",1
"X1300",1
"X1301",1
"X1302",1
"X1303",1
"X1304",3
"X1305",3
"X1306",1
"X1307",1
"X1308",1
"X1309",1
"X1310",1
"X1311",1
"X1312",1
"X1313",1
"X1314",1
"X1315",1
"X1316",1
"X1317",1
"X1318",1
"X1319",1
"X1320",2
"X1321",1
"X1322",2
"X1323",2
"X1324",2
"X1325",1
"X1326",2
"X1327",2
"X1328",1
"X1329",2
"X1330",1
"X1331",1
"X1332",2
"X1333",2
"X1334",2
"X1335",2
"X1336",3
"X1337",3
"X1338",3
"X1339",3
"X1340",3
"X1341",3
"X1342",3
"X1343",3
"X1344",3
"X1345",1
"X1346",1
"X1347",1
"X1348",2
"X1349",2
"X1350",2
"X1351",2
"X1352",1
"X1353",1
"X1354",1
"X1355",1
"X1356",2
"X1357",2
"X1358",2
"X1359",1
"X1360",1
"X1361",2
"X1362",2
"X1363",1
"X1364",2
"X1365",1
"X1366",2
"X1367",2
"X1368",2
"X1369",2
"X1370",1
"X1371",1
"X1372",1
"X1373",1
"X1374",2
"X1375",1
"X1376",2
"X1377",2
"X1378",1
"X1379",1
"X1380",2
"X1381",2
"X1382",2
"X1383",2
"X1384",2
"X1385",1
"X1386",1
"X1387",2
"X1388",2
"X1389",1
"X1390",2
"X1391",2
"X1392",1
"X1393",2
"X1394",2
"X1395",2
"X1396",1
"X1397",2
"X1398",1
"X1399",1
"X1400",1
"X1401",1
"X1402",1
"X1403",1
"X1404",1
"X1405",2
"X1406",2
"X1407",3
"X1408",3
"X1409",3
"X1410",3
"X1411",3
"X1412",2
"X1413",2
"X1414",1
"X1415",2
"X1416",1
"X1417",1
"X1418",1
"X1419",2
"X1420",2
"X1421",2
"X1422",2
"X1423",2
"X1424",1
"X1425",3
"X1426",3
"X1427",3
"X1428",3
"X1429",3
"X1430",3
"X1431",3
"X1432",1
"X1433",1
"X1434",2
"X1435",2
"X1436",2
"X1437",1
"X1438",1
"X1439",1
"X1440",1
"X1441",2
"X1442",2
"X1443",2
"X1444",1
"X1445",2
"X1446",1
"X1447",2
"X1448",2
"X1449",2
"X1450",1
"X1451",2
"X1452",1
"X1453",1
"X1454",2
"X1455",2
"X1456",1
"X1457",2
"X1458",1
"X1459",1
"X1460",2
"X1461",2
"X1462",2
"X1463",1
"X1464",2
"X1465",1
"X1466",1
"X1467",2
"X1468",1
"X1469",1
"X1470",3
"X1471",3
"X1472",3
"X1473",3
"X1474",3
"X1475",3
"X1476",3
"X1477",3
"X1478",3
"X1479",1
"X1480",1
"X1481",3
"X1482",3
"X1483",3
"X1484",3
"X1485",3
"X1486",3
"X1487",3
"X1488",2
"X1489",3
"X1490",1
"X1491",1
"X1492",2
"X1493",1
"X1494",2
"X1495",2
"X1496",1
"X1497",1
"X1498",1
"X1499",2
"X1500",2
"X1501",2
"X1502",2
"X1503",2
"X1504",1
"X1505",1
"X1506",2
"X1507",3
"X1508",1
"X1509",1
"X1510",2
"X1511",1
"X1512",1
"X1513",1
"X1514",1
"X1515",1
"X1516",1
"X1517",1
"X1518",1
"X1519",1
"X1520",2
"X1521",1
"X1522",1
"X1523",1
"X1524",1
"X1525",1
"X1526",1
"X1527",2
"X1528",3
"X1529",3
"X1530",3
"X1531",1
"X1532",1
"X1533",3
"X1534",3
"X1535",3
"X1536",1
"X1537",2
"X1538",3
"X1539",1
"X1540",1
"X1541",1
"X1542",1
"X1543",1
"X1544",3
"X1545",1
"X1546",3
"X1547",3
"X1548",2
"X1549",3
"X1550",3
"X1551",1
"X1552",1
"X1553",1
"X1554",1
"X1555",2
"X1556",3
"X1557",2
"X1558",3
"X1559",3
"X1560",3
"X1561",1
"X1562",2
"X1563",1
"X1564",2
"X1565",3
"X1566",3
"X1567",2
"X1568",3
"X1569",1
"X1570",1
"X1571",2
"X1572",3
"X1573",2
"X1574",3
"X1575",2
"X1576",3
"X1577",3
"X1578",3
"X1579",3
"X1580",3
"X1581",3
"X1582",3
"X1583",3
"X1584",3
"X1585",1
"X1586",2
"X1587",3
"X1588",3
"X1589",1
"X1590",3
"X1591",2
"X1592",2
"X1593",2
"X1594",3
"X1595",3
"X1596",1
"X1597",1
"X1598",3
"X1599",3
"X1600",3
"X1601",3
"X1602",3
"X1603",3
"X1604",3
"X1605",2
"X1606",3
"X1607",1
"X1608",3
"X1609",1
"X1610",1
"X1611",1
"X1612",3
"X1613",3
"X1614",3
"X1615",2
"X1616",3
"X1617",3
"X1618",3
"X1619",1
"X1620",2
"X1621",2
"X1622",2
"X1623",2
"X1624",1
"X1625",1
"X1626",1
"X1627",1
"X1628",1
"X1629",1
"X1630",2
"X1631",1
"X1632",1
"X1633",1
"X1634",1
"X1635",1
"X1636",1
"X1637",1
"X1638",1
"X1639",2
"X1640",2
"X1641",2
"X1642",2
"X1643",3
"X1644",3
"X1645",3
"X1646",2
"X1647",2
"X1648",2
"X1649",3
"X1650",1
"X1651",2
"X1652",2
"X1653",2
"X1654",1
"X1655",1
"X1656",2
"X1657",2
"X1658",2
"X1659",2
"X1660",1
"X1661",1
"X1662",1
"X1663",1
"X1664",2
"X1665",2
"X1666",1
"X1667",1
"X1668",2
"X1669",2
"X1670",2
"X1671",2
"X1672",1
"X1673",1
"X1674",2
"X1675",2
"X1676",2
"X1677",2
"X1678",2
"X1679",1
"X1680",1
"X1681",2
"X1682",1
"X1683",1
"X1684",1
"X1685",2
"X1686",2
"X1687",2
"X1688",2
"X1689",2
"X1690",1
"X1691",2
"X1692",2
"X1693",2
"X1694",2
"X1695",1
"X1696",1
"X1697",1
